problemName,problemLink,problemCode,problemDifficulty,contestName,contestLink
Perfect Permutation,http://codeforces.com/contest/1711/problem/A,A,800,Codeforces Round #810 (Div. 2),http://codeforces.com/contest/1711
Another String Minimization Problem,http://codeforces.com/contest/1706/problem/A,A,800,Codeforces Round #809 (Div. 2),http://codeforces.com/contest/1706
Difference Operations,http://codeforces.com/contest/1708/problem/A,A,800,Codeforces Round #808 (Div. 2),http://codeforces.com/contest/1708
Mark the Photographer,http://codeforces.com/contest/1705/problem/A,A,800,Codeforces Round #807 (Div. 2),http://codeforces.com/contest/1705
The Third Three Number Problem,http://codeforces.com/contest/1699/problem/A,A,800,Codeforces Round #804 (Div. 2),http://codeforces.com/contest/1699
XOR Mixup,http://codeforces.com/contest/1698/problem/A,A,800,Codeforces Round #803 (Div. 2),http://codeforces.com/contest/1698
Optimal Path,http://codeforces.com/contest/1700/problem/A,A,800,Codeforces Round #802 (Div. 2),http://codeforces.com/contest/1700
Subrectangle Guess,http://codeforces.com/contest/1695/problem/A,A,800,Codeforces Round #801 (Div. 2) and EPIC Institute of Technology Round,http://codeforces.com/contest/1695
Creep,http://codeforces.com/contest/1694/problem/A,A,800,Codeforces Round #800 (Div. 2),http://codeforces.com/contest/1694
Lex String,http://codeforces.com/contest/1689/problem/A,A,800,Codeforces Round #798 (Div. 2),http://codeforces.com/contest/1689
Cirno's Perfect Bitmasks Classroom,http://codeforces.com/contest/1688/problem/A,A,800,Codeforces Round #796 (Div. 2),http://codeforces.com/contest/1688
Beat The Odds,http://codeforces.com/contest/1691/problem/A,A,800,CodeCraft-22 and Codeforces Round #795 (Div. 2),http://codeforces.com/contest/1691
Everything Everywhere All But One,http://codeforces.com/contest/1686/problem/A,A,800,Codeforces Round #794 (Div. 2),http://codeforces.com/contest/1686
Palindromic Indices,http://codeforces.com/contest/1682/problem/A,A,800,Codeforces Round #793 (Div. 2),http://codeforces.com/contest/1682
AvtoBus,http://codeforces.com/contest/1679/problem/A,A,900,Codeforces Round #791 (Div. 2),http://codeforces.com/contest/1679
Tokitsukaze and All Zero Sequence,http://codeforces.com/contest/1678/problem/A,A,800,Codeforces Round #789 (Div. 2),http://codeforces.com/contest/1678
Prof,http://codeforces.com/contest/1670/problem/A,A,800,Codeforces Round #788 (Div. 2),http://codeforces.com/contest/1670
Subtle Substring Subtraction,http://codeforces.com/contest/1673/problem/A,A,800,Codeforces Round #785 (Div. 2),http://codeforces.com/contest/1673
Direction Change,http://codeforces.com/contest/1668/problem/A,A,800,Codeforces Round #783 (Div. 2),http://codeforces.com/contest/1668
Red Versus Blue,http://codeforces.com/contest/1659/problem/A,A,1000,Codeforces Round #782 (Div. 2),http://codeforces.com/contest/1659
GCD vs LCM,http://codeforces.com/contest/1665/problem/A,A,800,Codeforces Round #781 (Div. 2),http://codeforces.com/contest/1665
Marin and Photoshoot,http://codeforces.com/contest/1658/problem/A,A,800,Codeforces Round #779 (Div. 2),http://codeforces.com/contest/1658
Madoka and Math Dad,http://codeforces.com/contest/1647/problem/A,A,800,Codeforces Round #777 (Div. 2),http://codeforces.com/contest/1647
Square Counting,http://codeforces.com/contest/1646/problem/A,A,800,Codeforces Round #774 (Div. 2),http://codeforces.com/contest/1646
Hard Way,http://codeforces.com/contest/1642/problem/A,A,800,Codeforces Round #773 (Div. 2),http://codeforces.com/contest/1642
Min Or Sum,http://codeforces.com/contest/1635/problem/A,A,800,Codeforces Round #772 (Div. 2),http://codeforces.com/contest/1635
Reverse,http://codeforces.com/contest/1638/problem/A,A,800,Codeforces Round #771 (Div. 2),http://codeforces.com/contest/1638
Reverse and Concatenate,http://codeforces.com/contest/1634/problem/A,A,800,Codeforces Round #770 (Div. 2),http://codeforces.com/contest/1634
ABC,http://codeforces.com/contest/1632/problem/A,A,800,Codeforces Round #769 (Div. 2),http://codeforces.com/contest/1632
Min Max Swap,http://codeforces.com/contest/1631/problem/A,A,800,Codeforces Round #768 (Div. 2),http://codeforces.com/contest/1631
Download More RAM,http://codeforces.com/contest/1629/problem/A,A,800,Codeforces Round #767 (Div. 2),http://codeforces.com/contest/1629
Not Shading,http://codeforces.com/contest/1627/problem/A,A,800,Codeforces Round #766 (Div. 2),http://codeforces.com/contest/1627
Ancient Civilization,http://codeforces.com/contest/1625/problem/A,A,800,Codeforces Round #765 (Div. 2),http://codeforces.com/contest/1625
Robot Cleaner,http://codeforces.com/contest/1623/problem/A,A,800,Codeforces Round #763 (Div. 2),http://codeforces.com/contest/1623
