problemName,problemLink,problemCode,problemDifficulty,contestName,contestLink
Party,http://codeforces.com/contest/1711/problem/B,B,1300,Codeforces Round #810 (Div. 2),http://codeforces.com/contest/1711
Making Towers,http://codeforces.com/contest/1706/problem/B,B,1100,Codeforces Round #809 (Div. 2),http://codeforces.com/contest/1706
Difference of GCDs,http://codeforces.com/contest/1708/problem/B,B,1100,Codeforces Round #808 (Div. 2),http://codeforces.com/contest/1708
Mark the Dust Sweeper,http://codeforces.com/contest/1705/problem/B,B,900,Codeforces Round #807 (Div. 2),http://codeforces.com/contest/1705
Almost Ternary Matrix,http://codeforces.com/contest/1699/problem/B,B,900,Codeforces Round #804 (Div. 2),http://codeforces.com/contest/1699
Rising Sand,http://codeforces.com/contest/1698/problem/B,B,800,Codeforces Round #803 (Div. 2),http://codeforces.com/contest/1698
Palindromic Numbers,http://codeforces.com/contest/1700/problem/B,B,1100,Codeforces Round #802 (Div. 2),http://codeforces.com/contest/1700
Circle Game,http://codeforces.com/contest/1695/problem/B,B,1000,Codeforces Round #801 (Div. 2) and EPIC Institute of Technology Round,http://codeforces.com/contest/1695
Paranoid String,http://codeforces.com/contest/1694/problem/B,B,1200,Codeforces Round #800 (Div. 2),http://codeforces.com/contest/1694
Mystic Permutation,http://codeforces.com/contest/1689/problem/B,B,900,Codeforces Round #798 (Div. 2),http://codeforces.com/contest/1689
Patchouli's Magical Talisman,http://codeforces.com/contest/1688/problem/B,B,800,Codeforces Round #796 (Div. 2),http://codeforces.com/contest/1688
Shoe Shuffling,http://codeforces.com/contest/1691/problem/B,B,1000,CodeCraft-22 and Codeforces Round #795 (Div. 2),http://codeforces.com/contest/1691
Odd Subarrays,http://codeforces.com/contest/1686/problem/B,B,800,Codeforces Round #794 (Div. 2),http://codeforces.com/contest/1686
AND Sorting,http://codeforces.com/contest/1682/problem/B,B,1100,Codeforces Round #793 (Div. 2),http://codeforces.com/contest/1682
Stone Age Problem,http://codeforces.com/contest/1679/problem/B,B,1200,Codeforces Round #791 (Div. 2),http://codeforces.com/contest/1679
Tokitsukaze and Good 01-String (easy version),http://codeforces.com/contest/1678/problem/B1,B1,800,Codeforces Round #789 (Div. 2),http://codeforces.com/contest/1678
Tokitsukaze and Good 01-String (hard version),http://codeforces.com/contest/1678/problem/B2,B2,1800,Codeforces Round #789 (Div. 2),http://codeforces.com/contest/1678
Dorms War,http://codeforces.com/contest/1670/problem/B,B,1100,Codeforces Round #788 (Div. 2),http://codeforces.com/contest/1670
A Perfectly Balanced String?,http://codeforces.com/contest/1673/problem/B,B,1100,Codeforces Round #785 (Div. 2),http://codeforces.com/contest/1673
Social Distance,http://codeforces.com/contest/1668/problem/B,B,900,Codeforces Round #783 (Div. 2),http://codeforces.com/contest/1668
Bit Flipping,http://codeforces.com/contest/1659/problem/B,B,1300,Codeforces Round #782 (Div. 2),http://codeforces.com/contest/1659
Array Cloning Technique,http://codeforces.com/contest/1665/problem/B,B,900,Codeforces Round #781 (Div. 2),http://codeforces.com/contest/1665
Marin and Anti-coprime Permutation,http://codeforces.com/contest/1658/problem/B,B,800,Codeforces Round #779 (Div. 2),http://codeforces.com/contest/1658
Madoka and the Elegant Gift,http://codeforces.com/contest/1647/problem/B,B,1200,Codeforces Round #777 (Div. 2),http://codeforces.com/contest/1647
Quality vs Quantity,http://codeforces.com/contest/1646/problem/B,B,800,Codeforces Round #774 (Div. 2),http://codeforces.com/contest/1646
Power Walking,http://codeforces.com/contest/1642/problem/B,B,900,Codeforces Round #773 (Div. 2),http://codeforces.com/contest/1642
Avoid Local Maximums,http://codeforces.com/contest/1635/problem/B,B,800,Codeforces Round #772 (Div. 2),http://codeforces.com/contest/1635
Odd Swap Sort,http://codeforces.com/contest/1638/problem/B,B,1100,Codeforces Round #771 (Div. 2),http://codeforces.com/contest/1638
Fortune Telling,http://codeforces.com/contest/1634/problem/B,B,1400,Codeforces Round #770 (Div. 2),http://codeforces.com/contest/1634
Roof Construction,http://codeforces.com/contest/1632/problem/B,B,1000,Codeforces Round #769 (Div. 2),http://codeforces.com/contest/1632
Fun with Even Subarrays,http://codeforces.com/contest/1631/problem/B,B,1100,Codeforces Round #768 (Div. 2),http://codeforces.com/contest/1631
GCD Arrays,http://codeforces.com/contest/1629/problem/B,B,800,Codeforces Round #767 (Div. 2),http://codeforces.com/contest/1629
Not Sitting,http://codeforces.com/contest/1627/problem/B,B,1300,Codeforces Round #766 (Div. 2),http://codeforces.com/contest/1627
Elementary Particles,http://codeforces.com/contest/1625/problem/B,B,1100,Codeforces Round #765 (Div. 2),http://codeforces.com/contest/1625
Game on Ranges,http://codeforces.com/contest/1623/problem/B,B,1100,Codeforces Round #763 (Div. 2),http://codeforces.com/contest/1623
GCD Problem,http://codeforces.com/contest/1617/problem/B,B,900,Codeforces Round #761 (Div. 2),http://codeforces.com/contest/1617
Divan and a New Project,http://codeforces.com/contest/1614/problem/B,B,1000,Codeforces Round #757 (Div. 2),http://codeforces.com/contest/1614
Reverse Sort,http://codeforces.com/contest/1605/problem/B,B,1000,Codeforces Round #754 (Div. 2),http://codeforces.com/contest/1605
XOR Specia-LIS-t,http://codeforces.com/contest/1604/problem/B,B,1100,Codeforces Round #752 (Div. 2),http://codeforces.com/contest/1604
Divine Array,http://codeforces.com/contest/1602/problem/B,B,1100,Codeforces Round #751 (Div. 2),http://codeforces.com/contest/1602
Luntik and Subsequences,http://codeforces.com/contest/1582/problem/B,B,900,Codeforces Round #750 (Div. 2),http://codeforces.com/contest/1582
Special Numbers,http://codeforces.com/contest/1594/problem/B,B,1100,Codeforces Round #747 (Div. 2),http://codeforces.com/contest/1594
Hemose Shopping,http://codeforces.com/contest/1592/problem/B,B,1200,Codeforces Round #746 (Div. 2),http://codeforces.com/contest/1592
Diameter of Graph,http://codeforces.com/contest/1581/problem/B,B,1200,Codeforces Round #745 (Div. 2),http://codeforces.com/contest/1581
Swaps,http://codeforces.com/contest/1573/problem/B,B,1400,Codeforces Round #743 (Div. 2),http://codeforces.com/contest/1573
MEXor Mixup,http://codeforces.com/contest/1567/problem/B,B,1000,Codeforces Round #742 (Div. 2),http://codeforces.com/contest/1567
Scenes From a Memory,http://codeforces.com/contest/1562/problem/B,B,1000,Codeforces Round #741 (Div. 2),http://codeforces.com/contest/1562
Mocha and Red and Blue,http://codeforces.com/contest/1559/problem/B,B,900,Codeforces Round #738 (Div. 2),http://codeforces.com/contest/1559
Moamen and k-subarrays,http://codeforces.com/contest/1557/problem/B,B,1100,Codeforces Round #737 (Div. 2),http://codeforces.com/contest/1557
Gregor and the Pawn Game,http://codeforces.com/contest/1549/problem/B,B,800,Codeforces Round #736 (Div. 2),http://codeforces.com/contest/1549
Cobb,http://codeforces.com/contest/1554/problem/B,B,1700,Codeforces Round #735 (Div. 2),http://codeforces.com/contest/1554
AquaMoon and Stolen String,http://codeforces.com/contest/1546/problem/B,B,1200,Codeforces Round #732 (Div. 2),http://codeforces.com/contest/1546
Customising the Track,http://codeforces.com/contest/1543/problem/B,B,900,Codeforces Round #730 (Div. 2),http://codeforces.com/contest/1543
Plus and Multiply,http://codeforces.com/contest/1542/problem/B,B,1500,Codeforces Round #729 (Div. 2),http://codeforces.com/contest/1542
Pleasant Pairs,http://codeforces.com/contest/1541/problem/B,B,1200,Codeforces Round #728 (Div. 2),http://codeforces.com/contest/1541
Love Song,http://codeforces.com/contest/1539/problem/B,B,800,Codeforces Round #727 (Div. 2),http://codeforces.com/contest/1539
Bad Boy,http://codeforces.com/contest/1537/problem/B,B,900,Codeforces Round #726 (Div. 2),http://codeforces.com/contest/1537
Prinzessin der Verurteilung,http://codeforces.com/contest/1536/problem/B,B,1200,Codeforces Round #724 (Div. 2),http://codeforces.com/contest/1536
I Hate 1111,http://codeforces.com/contest/1526/problem/B,B,1400,Codeforces Round #723 (Div. 2),http://codeforces.com/contest/1526
Sifid and Strange Subsequences,http://codeforces.com/contest/1529/problem/B,B,1100,Codeforces Round #722 (Div. 2),http://codeforces.com/contest/1529
Palindrome Game (easy version),http://codeforces.com/contest/1527/problem/B1,B1,1200,Codeforces Round #721 (Div. 2),http://codeforces.com/contest/1527
Palindrome Game (hard version),http://codeforces.com/contest/1527/problem/B2,B2,1900,Codeforces Round #721 (Div. 2),http://codeforces.com/contest/1527
Nastia and a Good Array,http://codeforces.com/contest/1521/problem/B,B,1300,Codeforces Round #720 (Div. 2),http://codeforces.com/contest/1521
AGAGA XOOORRR,http://codeforces.com/contest/1516/problem/B,B,1500,Codeforces Round #717 (Div. 2),http://codeforces.com/contest/1516
"AND 0, Sum Big",http://codeforces.com/contest/1514/problem/B,B,1200,Codeforces Round #716 (Div. 2),http://codeforces.com/contest/1514
TMT Document,http://codeforces.com/contest/1509/problem/B,B,1100,Codeforces Round #715 (Div. 2),http://codeforces.com/contest/1509
AND Sequences,http://codeforces.com/contest/1513/problem/B,B,1400,Divide by Zero 2021 and Codeforces Round #714 (Div. 2),http://codeforces.com/contest/1513
Flip the Bits,http://codeforces.com/contest/1504/problem/B,B,1200,Codeforces Round #712 (Div. 2),http://codeforces.com/contest/1504
Box Fitting,http://codeforces.com/contest/1498/problem/B,B,1300,CodeCraft-21 and Codeforces Round #711 (Div. 2),http://codeforces.com/contest/1498
M-arrays,http://codeforces.com/contest/1497/problem/B,B,1200,Codeforces Round #708 (Div. 2),http://codeforces.com/contest/1497
Max and Mex,http://codeforces.com/contest/1496/problem/B,B,1100,Codeforces Round #706 (Div. 2),http://codeforces.com/contest/1496
Planet Lapituletti,http://codeforces.com/contest/1493/problem/B,B,1300,Codeforces Round #705 (Div. 2),http://codeforces.com/contest/1493
Card Deck,http://codeforces.com/contest/1492/problem/B,B,1100,Codeforces Round #704 (Div. 2),http://codeforces.com/contest/1492
Eastern Exhibition,http://codeforces.com/contest/1486/problem/B,B,1500,Codeforces Round #703 (Div. 2),http://codeforces.com/contest/1486
Replace and Keep Sorted,http://codeforces.com/contest/1485/problem/B,B,1200,Codeforces Round #701 (Div. 2),http://codeforces.com/contest/1485
The Great Hero,http://codeforces.com/contest/1480/problem/B,B,900,Codeforces Round #700 (Div. 2),http://codeforces.com/contest/1480
New Colony,http://codeforces.com/contest/1481/problem/B,B,1100,Codeforces Round #699 (Div. 2),http://codeforces.com/contest/1481
Nezzar and Lucky Number,http://codeforces.com/contest/1478/problem/B,B,1100,Codeforces Round #698 (Div. 2),http://codeforces.com/contest/1478
Different Divisors,http://codeforces.com/contest/1474/problem/B,B,1000,Codeforces Round #696 (Div. 2),http://codeforces.com/contest/1474
Hills And Valleys,http://codeforces.com/contest/1467/problem/B,B,1700,Codeforces Round #695 (Div. 2),http://codeforces.com/contest/1467
Strange List,http://codeforces.com/contest/1471/problem/B,B,1100,Codeforces Round #694 (Div. 2),http://codeforces.com/contest/1471
Move and Turn,http://codeforces.com/contest/1459/problem/B,B,1300,Codeforces Round #691 (Div. 2),http://codeforces.com/contest/1459
Suffix Operations,http://codeforces.com/contest/1453/problem/B,B,1400,Codeforces Round #688 (Div. 2),http://codeforces.com/contest/1453
Non-Substring Subsequence,http://codeforces.com/contest/1451/problem/B,B,900,Codeforces Round #685 (Div. 2),http://codeforces.com/contest/1451
Sum of Medians,http://codeforces.com/contest/1440/problem/B,B,900,Codeforces Round #684 (Div. 2),http://codeforces.com/contest/1440
Valerii Against Everyone,http://codeforces.com/contest/1438/problem/B,B,1000,Codeforces Round #682 (Div. 2),http://codeforces.com/contest/1438
Prime Square,http://codeforces.com/contest/1436/problem/B,B,900,Codeforces Round #678 (Div. 2),http://codeforces.com/contest/1436
Putting Bricks in the Wall,http://codeforces.com/contest/1421/problem/B,B,1100,Codeforces Round #676 (Div. 2),http://codeforces.com/contest/1421
Nice Matrix,http://codeforces.com/contest/1422/problem/B,B,1300,Codeforces Round #675 (Div. 2),http://codeforces.com/contest/1422
Two Arrays,http://codeforces.com/contest/1417/problem/B,B,1100,Codeforces Round #673 (Div. 2),http://codeforces.com/contest/1417
Rock and Lever,http://codeforces.com/contest/1420/problem/B,B,1200,Codeforces Round #672 (Div. 2),http://codeforces.com/contest/1420
Stairs,http://codeforces.com/contest/1419/problem/B,B,1200,Codeforces Round #671 (Div. 2),http://codeforces.com/contest/1419
Maximum Product,http://codeforces.com/contest/1406/problem/B,B,1200,Codeforces Round #670 (Div. 2),http://codeforces.com/contest/1406
Big Vova,http://codeforces.com/contest/1407/problem/B,B,1300,Codeforces Round #669 (Div. 2),http://codeforces.com/contest/1407
Array Cancellation,http://codeforces.com/contest/1405/problem/B,B,1000,Codeforces Round #668 (Div. 2),http://codeforces.com/contest/1405
Power Sequence,http://codeforces.com/contest/1397/problem/B,B,1500,Codeforces Round #666 (Div. 2),http://codeforces.com/contest/1397
Ternary Sequence,http://codeforces.com/contest/1401/problem/B,B,1100,Codeforces Round #665 (Div. 2),http://codeforces.com/contest/1401
Boboniu Plays Chess,http://codeforces.com/contest/1395/problem/B,B,1100,Codeforces Round #664 (Div. 2),http://codeforces.com/contest/1395
Fix You,http://codeforces.com/contest/1391/problem/B,B,800,Codeforces Round #663 (Div. 2),http://codeforces.com/contest/1391
Applejack and Storages,http://codeforces.com/contest/1393/problem/B,B,1400,Codeforces Round #662 (Div. 2),http://codeforces.com/contest/1393
Captain Flint and a Long Voyage,http://codeforces.com/contest/1388/problem/B,B,1000,Codeforces Round #660 (Div. 2),http://codeforces.com/contest/1388
Koa and the Beach (Easy Version),http://codeforces.com/contest/1384/problem/B1,B1,1900,Codeforces Round #659 (Div. 2),http://codeforces.com/contest/1384
Koa and the Beach (Hard Version),http://codeforces.com/contest/1384/problem/B2,B2,2200,Codeforces Round #659 (Div. 2),http://codeforces.com/contest/1384
Sequential Nim,http://codeforces.com/contest/1382/problem/B,B,1100,Codeforces Round #658 (Div. 2),http://codeforces.com/contest/1382
Dubious Cyrpto,http://codeforces.com/contest/1379/problem/B,B,1500,Codeforces Round #657 (Div. 2),http://codeforces.com/contest/1379
