problemName,problemLink,problemCode,problemDifficulty,contestName,contestLink
Color the Picture,http://codeforces.com/contest/1711/problem/C,C,1500,Codeforces Round #810 (Div. 2),http://codeforces.com/contest/1711
Qpwoeirut And The City,http://codeforces.com/contest/1706/problem/C,C,1400,Codeforces Round #809 (Div. 2),http://codeforces.com/contest/1706
Doremy's IQ,http://codeforces.com/contest/1708/problem/C,C,1600,Codeforces Round #808 (Div. 2),http://codeforces.com/contest/1708
Mark and His Unfinished Essay,http://codeforces.com/contest/1705/problem/C,C,1400,Codeforces Round #807 (Div. 2),http://codeforces.com/contest/1705
The Third Problem,http://codeforces.com/contest/1699/problem/C,C,1700,Codeforces Round #804 (Div. 2),http://codeforces.com/contest/1699
3SUM Closure,http://codeforces.com/contest/1698/problem/C,C,1300,Codeforces Round #803 (Div. 2),http://codeforces.com/contest/1698
Helping the Nature,http://codeforces.com/contest/1700/problem/C,C,1700,Codeforces Round #802 (Div. 2),http://codeforces.com/contest/1700
Zero Path,http://codeforces.com/contest/1695/problem/C,C,1700,Codeforces Round #801 (Div. 2) and EPIC Institute of Technology Round,http://codeforces.com/contest/1695
Directional Increase,http://codeforces.com/contest/1694/problem/C,C,1300,Codeforces Round #800 (Div. 2),http://codeforces.com/contest/1694
Infected Tree,http://codeforces.com/contest/1689/problem/C,C,1600,Codeforces Round #798 (Div. 2),http://codeforces.com/contest/1689
Manipulating History,http://codeforces.com/contest/1688/problem/C,C,1700,Codeforces Round #796 (Div. 2),http://codeforces.com/contest/1688
Sum of Substrings,http://codeforces.com/contest/1691/problem/C,C,1400,CodeCraft-22 and Codeforces Round #795 (Div. 2),http://codeforces.com/contest/1691
Circular Local MiniMax,http://codeforces.com/contest/1686/problem/C,C,1100,Codeforces Round #794 (Div. 2),http://codeforces.com/contest/1686
LIS or Reverse LIS?,http://codeforces.com/contest/1682/problem/C,C,1400,Codeforces Round #793 (Div. 2),http://codeforces.com/contest/1682
Rooks Defenders,http://codeforces.com/contest/1679/problem/C,C,1400,Codeforces Round #791 (Div. 2),http://codeforces.com/contest/1679
Tokitsukaze and Strange Inequality,http://codeforces.com/contest/1678/problem/C,C,1600,Codeforces Round #789 (Div. 2),http://codeforces.com/contest/1678
Where is the Pizza?,http://codeforces.com/contest/1670/problem/C,C,1400,Codeforces Round #788 (Div. 2),http://codeforces.com/contest/1670
Palindrome Basis,http://codeforces.com/contest/1673/problem/C,C,1500,Codeforces Round #785 (Div. 2),http://codeforces.com/contest/1673
Make it Increasing,http://codeforces.com/contest/1668/problem/C,C,1300,Codeforces Round #783 (Div. 2),http://codeforces.com/contest/1668
Line Empire,http://codeforces.com/contest/1659/problem/C,C,1500,Codeforces Round #782 (Div. 2),http://codeforces.com/contest/1659
Tree Infection,http://codeforces.com/contest/1665/problem/C,C,1600,Codeforces Round #781 (Div. 2),http://codeforces.com/contest/1665
Shinju and the Lost Permutation,http://codeforces.com/contest/1658/problem/C,C,1700,Codeforces Round #779 (Div. 2),http://codeforces.com/contest/1658
Madoka and Childish Pranks,http://codeforces.com/contest/1647/problem/C,C,1300,Codeforces Round #777 (Div. 2),http://codeforces.com/contest/1647
Factorials and Powers of Two,http://codeforces.com/contest/1646/problem/C,C,1500,Codeforces Round #774 (Div. 2),http://codeforces.com/contest/1646
Great Sequence,http://codeforces.com/contest/1642/problem/C,C,1200,Codeforces Round #773 (Div. 2),http://codeforces.com/contest/1642
Differential Sorting,http://codeforces.com/contest/1635/problem/C,C,1200,Codeforces Round #772 (Div. 2),http://codeforces.com/contest/1635
Inversion Graph,http://codeforces.com/contest/1638/problem/C,C,1300,Codeforces Round #771 (Div. 2),http://codeforces.com/contest/1638
OKEA,http://codeforces.com/contest/1634/problem/C,C,1000,Codeforces Round #770 (Div. 2),http://codeforces.com/contest/1634
Strange Test,http://codeforces.com/contest/1632/problem/C,C,1600,Codeforces Round #769 (Div. 2),http://codeforces.com/contest/1632
And Matching,http://codeforces.com/contest/1631/problem/C,C,1500,Codeforces Round #768 (Div. 2),http://codeforces.com/contest/1631
Meximum Array,http://codeforces.com/contest/1629/problem/C,C,1400,Codeforces Round #767 (Div. 2),http://codeforces.com/contest/1629
Not Assigning,http://codeforces.com/contest/1627/problem/C,C,1400,Codeforces Round #766 (Div. 2),http://codeforces.com/contest/1627
Road Optimization,http://codeforces.com/contest/1625/problem/C,C,1700,Codeforces Round #765 (Div. 2),http://codeforces.com/contest/1625
Balanced Stone Heaps,http://codeforces.com/contest/1623/problem/C,C,1600,Codeforces Round #763 (Div. 2),http://codeforces.com/contest/1623
Paprika and Permutation,http://codeforces.com/contest/1617/problem/C,C,1300,Codeforces Round #761 (Div. 2),http://codeforces.com/contest/1617
Divan and bitwise operations,http://codeforces.com/contest/1614/problem/C,C,1500,Codeforces Round #757 (Div. 2),http://codeforces.com/contest/1614
Dominant Character,http://codeforces.com/contest/1605/problem/C,C,1400,Codeforces Round #754 (Div. 2),http://codeforces.com/contest/1605
Di-visible Confusion,http://codeforces.com/contest/1604/problem/C,C,1300,Codeforces Round #752 (Div. 2),http://codeforces.com/contest/1604
Array Elimination,http://codeforces.com/contest/1602/problem/C,C,1300,Codeforces Round #751 (Div. 2),http://codeforces.com/contest/1602
Grandma Capa Knits a Scarf,http://codeforces.com/contest/1582/problem/C,C,1200,Codeforces Round #750 (Div. 2),http://codeforces.com/contest/1582
Make Them Equal,http://codeforces.com/contest/1594/problem/C,C,1200,Codeforces Round #747 (Div. 2),http://codeforces.com/contest/1594
Bakry and Partitioning,http://codeforces.com/contest/1592/problem/C,C,1700,Codeforces Round #746 (Div. 2),http://codeforces.com/contest/1592
Portal,http://codeforces.com/contest/1581/problem/C,C,1700,Codeforces Round #745 (Div. 2),http://codeforces.com/contest/1581
Book,http://codeforces.com/contest/1573/problem/C,C,1800,Codeforces Round #743 (Div. 2),http://codeforces.com/contest/1573
Carrying Conundrum,http://codeforces.com/contest/1567/problem/C,C,1600,Codeforces Round #742 (Div. 2),http://codeforces.com/contest/1567
Rings,http://codeforces.com/contest/1562/problem/C,C,1500,Codeforces Round #741 (Div. 2),http://codeforces.com/contest/1562
Mocha and Hiking,http://codeforces.com/contest/1559/problem/C,C,1200,Codeforces Round #738 (Div. 2),http://codeforces.com/contest/1559
Moamen and XOR,http://codeforces.com/contest/1557/problem/C,C,1700,Codeforces Round #737 (Div. 2),http://codeforces.com/contest/1557
Web of Lies,http://codeforces.com/contest/1549/problem/C,C,1400,Codeforces Round #736 (Div. 2),http://codeforces.com/contest/1549
Mikasa,http://codeforces.com/contest/1554/problem/C,C,1800,Codeforces Round #735 (Div. 2),http://codeforces.com/contest/1554
AquaMoon and Strange Sort,http://codeforces.com/contest/1546/problem/C,C,1500,Codeforces Round #732 (Div. 2),http://codeforces.com/contest/1546
Need for Pink Slips,http://codeforces.com/contest/1543/problem/C,C,1900,Codeforces Round #730 (Div. 2),http://codeforces.com/contest/1543
Strange Function,http://codeforces.com/contest/1542/problem/C,C,1600,Codeforces Round #729 (Div. 2),http://codeforces.com/contest/1542
Great Graphs,http://codeforces.com/contest/1541/problem/C,C,1400,Codeforces Round #728 (Div. 2),http://codeforces.com/contest/1541
Stable Groups,http://codeforces.com/contest/1539/problem/C,C,1200,Codeforces Round #727 (Div. 2),http://codeforces.com/contest/1539
Challenging Cliffs,http://codeforces.com/contest/1537/problem/C,C,1200,Codeforces Round #726 (Div. 2),http://codeforces.com/contest/1537
Diluc and Kaeya,http://codeforces.com/contest/1536/problem/C,C,1500,Codeforces Round #724 (Div. 2),http://codeforces.com/contest/1536
Potions (Easy Version),http://codeforces.com/contest/1526/problem/C1,C1,1500,Codeforces Round #723 (Div. 2),http://codeforces.com/contest/1526
Potions (Hard Version),http://codeforces.com/contest/1526/problem/C2,C2,1600,Codeforces Round #723 (Div. 2),http://codeforces.com/contest/1526
Parsa's Humongous Tree,http://codeforces.com/contest/1529/problem/C,C,1600,Codeforces Round #722 (Div. 2),http://codeforces.com/contest/1529
Sequence Pair Weight,http://codeforces.com/contest/1527/problem/C,C,1600,Codeforces Round #721 (Div. 2),http://codeforces.com/contest/1527
Nastia and a Hidden Permutation,http://codeforces.com/contest/1521/problem/C,C,2000,Codeforces Round #720 (Div. 2),http://codeforces.com/contest/1521
Baby Ehab Partitions Again,http://codeforces.com/contest/1516/problem/C,C,1700,Codeforces Round #717 (Div. 2),http://codeforces.com/contest/1516
Product 1 Modulo N,http://codeforces.com/contest/1514/problem/C,C,1600,Codeforces Round #716 (Div. 2),http://codeforces.com/contest/1514
The Sports Festival,http://codeforces.com/contest/1509/problem/C,C,1800,Codeforces Round #715 (Div. 2),http://codeforces.com/contest/1509
Add One,http://codeforces.com/contest/1513/problem/C,C,1600,Divide by Zero 2021 and Codeforces Round #714 (Div. 2),http://codeforces.com/contest/1513
Balance the Bits,http://codeforces.com/contest/1504/problem/C,C,1600,Codeforces Round #712 (Div. 2),http://codeforces.com/contest/1504
Planar Reflections,http://codeforces.com/contest/1498/problem/C,C,1600,CodeCraft-21 and Codeforces Round #711 (Div. 2),http://codeforces.com/contest/1498
k-LCM (easy version),http://codeforces.com/contest/1497/problem/C1,C1,1200,Codeforces Round #708 (Div. 2),http://codeforces.com/contest/1497
k-LCM (hard version),http://codeforces.com/contest/1497/problem/C2,C2,1600,Codeforces Round #708 (Div. 2),http://codeforces.com/contest/1497
Diamond Miner,http://codeforces.com/contest/1496/problem/C,C,1200,Codeforces Round #706 (Div. 2),http://codeforces.com/contest/1496
K-beautiful Strings,http://codeforces.com/contest/1493/problem/C,C,2000,Codeforces Round #705 (Div. 2),http://codeforces.com/contest/1493
Maximum width,http://codeforces.com/contest/1492/problem/C,C,1500,Codeforces Round #704 (Div. 2),http://codeforces.com/contest/1492
Guessing the Greatest (easy version),http://codeforces.com/contest/1486/problem/C1,C1,1600,Codeforces Round #703 (Div. 2),http://codeforces.com/contest/1486
Guessing the Greatest (hard version),http://codeforces.com/contest/1486/problem/C2,C2,1900,Codeforces Round #703 (Div. 2),http://codeforces.com/contest/1486
Floor and Mod,http://codeforces.com/contest/1485/problem/C,C,1700,Codeforces Round #701 (Div. 2),http://codeforces.com/contest/1485
Searching Local Minimum,http://codeforces.com/contest/1480/problem/C,C,1700,Codeforces Round #700 (Div. 2),http://codeforces.com/contest/1480
Fence Painting,http://codeforces.com/contest/1481/problem/C,C,1600,Codeforces Round #699 (Div. 2),http://codeforces.com/contest/1481
Nezzar and Symmetric Array,http://codeforces.com/contest/1478/problem/C,C,1700,Codeforces Round #698 (Div. 2),http://codeforces.com/contest/1478
Array Destruction,http://codeforces.com/contest/1474/problem/C,C,1700,Codeforces Round #696 (Div. 2),http://codeforces.com/contest/1474
Three Bags,http://codeforces.com/contest/1467/problem/C,C,1900,Codeforces Round #695 (Div. 2),http://codeforces.com/contest/1467
Strange Birthday Party,http://codeforces.com/contest/1471/problem/C,C,1300,Codeforces Round #694 (Div. 2),http://codeforces.com/contest/1471
Row GCD,http://codeforces.com/contest/1459/problem/C,C,1600,Codeforces Round #691 (Div. 2),http://codeforces.com/contest/1459
Triangles,http://codeforces.com/contest/1453/problem/C,C,1700,Codeforces Round #688 (Div. 2),http://codeforces.com/contest/1453
String Equality,http://codeforces.com/contest/1451/problem/C,C,1400,Codeforces Round #685 (Div. 2),http://codeforces.com/contest/1451
Binary Table (Easy Version),http://codeforces.com/contest/1440/problem/C1,C1,1500,Codeforces Round #684 (Div. 2),http://codeforces.com/contest/1440
Binary Table (Hard Version),http://codeforces.com/contest/1440/problem/C2,C2,1900,Codeforces Round #684 (Div. 2),http://codeforces.com/contest/1440
Engineer Artem,http://codeforces.com/contest/1438/problem/C,C,2000,Codeforces Round #682 (Div. 2),http://codeforces.com/contest/1438
Binary Search,http://codeforces.com/contest/1436/problem/C,C,1500,Codeforces Round #678 (Div. 2),http://codeforces.com/contest/1436
Palindromifier,http://codeforces.com/contest/1421/problem/C,C,1400,Codeforces Round #676 (Div. 2),http://codeforces.com/contest/1421
Bargain,http://codeforces.com/contest/1422/problem/C,C,1700,Codeforces Round #675 (Div. 2),http://codeforces.com/contest/1422
k-Amazing Numbers,http://codeforces.com/contest/1417/problem/C,C,1500,Codeforces Round #673 (Div. 2),http://codeforces.com/contest/1417
Pokémon Army (easy version),http://codeforces.com/contest/1420/problem/C1,C1,1300,Codeforces Round #672 (Div. 2),http://codeforces.com/contest/1420
Pokémon Army (hard version),http://codeforces.com/contest/1420/problem/C2,C2,2100,Codeforces Round #672 (Div. 2),http://codeforces.com/contest/1420
Killjoy,http://codeforces.com/contest/1419/problem/C,C,1500,Codeforces Round #671 (Div. 2),http://codeforces.com/contest/1419
Link Cut Centroids,http://codeforces.com/contest/1406/problem/C,C,1700,Codeforces Round #670 (Div. 2),http://codeforces.com/contest/1406
Chocolate Bunny,http://codeforces.com/contest/1407/problem/C,C,1600,Codeforces Round #669 (Div. 2),http://codeforces.com/contest/1407
Balanced Bitstring,http://codeforces.com/contest/1405/problem/C,C,1500,Codeforces Round #668 (Div. 2),http://codeforces.com/contest/1405
Multiples of Length,http://codeforces.com/contest/1397/problem/C,C,1600,Codeforces Round #666 (Div. 2),http://codeforces.com/contest/1397
Mere Array,http://codeforces.com/contest/1401/problem/C,C,1300,Codeforces Round #665 (Div. 2),http://codeforces.com/contest/1401
Boboniu and Bit Operations,http://codeforces.com/contest/1395/problem/C,C,1600,Codeforces Round #664 (Div. 2),http://codeforces.com/contest/1395
Cyclic Permutations,http://codeforces.com/contest/1391/problem/C,C,1500,Codeforces Round #663 (Div. 2),http://codeforces.com/contest/1391
Pinkie Pie Eats Patty-cakes,http://codeforces.com/contest/1393/problem/C,C,1700,Codeforces Round #662 (Div. 2),http://codeforces.com/contest/1393
Uncle Bogdan and Country Happiness,http://codeforces.com/contest/1388/problem/C,C,1800,Codeforces Round #660 (Div. 2),http://codeforces.com/contest/1388
String Transformation 1,http://codeforces.com/contest/1384/problem/C,C,1700,Codeforces Round #659 (Div. 2),http://codeforces.com/contest/1384
Prefix Flip (Easy Version),http://codeforces.com/contest/1382/problem/C1,C1,1300,Codeforces Round #658 (Div. 2),http://codeforces.com/contest/1382
Prefix Flip (Hard Version),http://codeforces.com/contest/1382/problem/C2,C2,1700,Codeforces Round #658 (Div. 2),http://codeforces.com/contest/1382
Choosing flowers,http://codeforces.com/contest/1379/problem/C,C,2000,Codeforces Round #657 (Div. 2),http://codeforces.com/contest/1379
