problemName,problemLink,problemCode,problemDifficulty,contestName,contestLink
Rain,http://codeforces.com/contest/1711/problem/D,D,2100,Codeforces Round #810 (Div. 2),http://codeforces.com/contest/1711
Chopping Carrots (Easy Version),http://codeforces.com/contest/1706/problem/D1,D1,1700,Codeforces Round #809 (Div. 2),http://codeforces.com/contest/1706
Chopping Carrots (Hard Version),http://codeforces.com/contest/1706/problem/D2,D2,2400,Codeforces Round #809 (Div. 2),http://codeforces.com/contest/1706
Difference Array,http://codeforces.com/contest/1708/problem/D,D,1900,Codeforces Round #808 (Div. 2),http://codeforces.com/contest/1708
Mark and Lightbulbs,http://codeforces.com/contest/1705/problem/D,D,1800,Codeforces Round #807 (Div. 2),http://codeforces.com/contest/1705
Almost Triple Deletions,http://codeforces.com/contest/1699/problem/D,D,2300,Codeforces Round #804 (Div. 2),http://codeforces.com/contest/1699
Fixed Point Guessing,http://codeforces.com/contest/1698/problem/D,D,1600,Codeforces Round #803 (Div. 2),http://codeforces.com/contest/1698
River Locks,http://codeforces.com/contest/1700/problem/D,D,1900,Codeforces Round #802 (Div. 2),http://codeforces.com/contest/1700
Tree Queries (Easy Version),http://codeforces.com/contest/1695/problem/D1,D1,2200,Codeforces Round #801 (Div. 2) and EPIC Institute of Technology Round,http://codeforces.com/contest/1695
Tree Queries (Hard Version),http://codeforces.com/contest/1695/problem/D2,D2,2300,Codeforces Round #801 (Div. 2) and EPIC Institute of Technology Round,http://codeforces.com/contest/1695
Fake Plastic Trees,http://codeforces.com/contest/1694/problem/D,D,1700,Codeforces Round #800 (Div. 2),http://codeforces.com/contest/1694
Lena and Matrix,http://codeforces.com/contest/1689/problem/D,D,1900,Codeforces Round #798 (Div. 2),http://codeforces.com/contest/1689
The Enchanted Forest,http://codeforces.com/contest/1688/problem/D,D,1600,Codeforces Round #796 (Div. 2),http://codeforces.com/contest/1688
Max GEQ Sum,http://codeforces.com/contest/1691/problem/D,D,1800,CodeCraft-22 and Codeforces Round #795 (Div. 2),http://codeforces.com/contest/1691
Linguistics,http://codeforces.com/contest/1686/problem/D,D,2000,Codeforces Round #794 (Div. 2),http://codeforces.com/contest/1686
Circular Spanning Tree,http://codeforces.com/contest/1682/problem/D,D,2000,Codeforces Round #793 (Div. 2),http://codeforces.com/contest/1682
Toss a Coin to Your Graph,http://codeforces.com/contest/1679/problem/D,D,1900,Codeforces Round #791 (Div. 2),http://codeforces.com/contest/1679
Tokitsukaze and Meeting,http://codeforces.com/contest/1678/problem/D,D,1700,Codeforces Round #789 (Div. 2),http://codeforces.com/contest/1678
Very Suspicious,http://codeforces.com/contest/1670/problem/D,D,1700,Codeforces Round #788 (Div. 2),http://codeforces.com/contest/1670
Lost Arithmetic Progression,http://codeforces.com/contest/1673/problem/D,D,1900,Codeforces Round #785 (Div. 2),http://codeforces.com/contest/1673
Optimal Partition,http://codeforces.com/contest/1668/problem/D,D,2100,Codeforces Round #783 (Div. 2),http://codeforces.com/contest/1668
Reverse Sort Sum,http://codeforces.com/contest/1659/problem/D,D,1900,Codeforces Round #782 (Div. 2),http://codeforces.com/contest/1659
GCD Guess,http://codeforces.com/contest/1665/problem/D,D,2000,Codeforces Round #781 (Div. 2),http://codeforces.com/contest/1665
388535 (Easy Version),http://codeforces.com/contest/1658/problem/D1,D1,1600,Codeforces Round #779 (Div. 2),http://codeforces.com/contest/1658
388535 (Hard Version),http://codeforces.com/contest/1658/problem/D2,D2,2300,Codeforces Round #779 (Div. 2),http://codeforces.com/contest/1658
Madoka and the Best School in Russia,http://codeforces.com/contest/1647/problem/D,D,1900,Codeforces Round #777 (Div. 2),http://codeforces.com/contest/1647
Weight the Tree,http://codeforces.com/contest/1646/problem/D,D,2000,Codeforces Round #774 (Div. 2),http://codeforces.com/contest/1646
Repetitions Decoding,http://codeforces.com/contest/1642/problem/D,D,2000,Codeforces Round #773 (Div. 2),http://codeforces.com/contest/1642
Infinite Set,http://codeforces.com/contest/1635/problem/D,D,1800,Codeforces Round #772 (Div. 2),http://codeforces.com/contest/1635
Big Brush,http://codeforces.com/contest/1638/problem/D,D,2000,Codeforces Round #771 (Div. 2),http://codeforces.com/contest/1638
Finding Zero,http://codeforces.com/contest/1634/problem/D,D,2000,Codeforces Round #770 (Div. 2),http://codeforces.com/contest/1634
New Year Concert,http://codeforces.com/contest/1632/problem/D,D,2000,Codeforces Round #769 (Div. 2),http://codeforces.com/contest/1632
Range and Partition,http://codeforces.com/contest/1631/problem/D,D,1800,Codeforces Round #768 (Div. 2),http://codeforces.com/contest/1631
Peculiar Movie Preferences,http://codeforces.com/contest/1629/problem/D,D,1700,Codeforces Round #767 (Div. 2),http://codeforces.com/contest/1629
Not Adding,http://codeforces.com/contest/1627/problem/D,D,1900,Codeforces Round #766 (Div. 2),http://codeforces.com/contest/1627
Binary Spiders,http://codeforces.com/contest/1625/problem/D,D,2300,Codeforces Round #765 (Div. 2),http://codeforces.com/contest/1625
Robot Cleaner Revisit,http://codeforces.com/contest/1623/problem/D,D,2300,Codeforces Round #763 (Div. 2),http://codeforces.com/contest/1623
Too Many Impostors (easy version),http://codeforces.com/contest/1617/problem/D1,D1,1800,Codeforces Round #761 (Div. 2),http://codeforces.com/contest/1617
Too Many Impostors (hard version),http://codeforces.com/contest/1617/problem/D2,D2,2400,Codeforces Round #761 (Div. 2),http://codeforces.com/contest/1617
Divan and Kostomuksha (easy version),http://codeforces.com/contest/1614/problem/D1,D1,2100,Codeforces Round #757 (Div. 2),http://codeforces.com/contest/1614
Divan and Kostomuksha (hard version),http://codeforces.com/contest/1614/problem/D2,D2,2300,Codeforces Round #757 (Div. 2),http://codeforces.com/contest/1614
Treelabeling,http://codeforces.com/contest/1605/problem/D,D,2100,Codeforces Round #754 (Div. 2),http://codeforces.com/contest/1605
Moderate Modular Mode,http://codeforces.com/contest/1604/problem/D,D,1600,Codeforces Round #752 (Div. 2),http://codeforces.com/contest/1604
Frog Traveler,http://codeforces.com/contest/1602/problem/D,D,1900,Codeforces Round #751 (Div. 2),http://codeforces.com/contest/1602
"Vupsen, Pupsen and 0",http://codeforces.com/contest/1582/problem/D,D,1600,Codeforces Round #750 (Div. 2),http://codeforces.com/contest/1582
The Number of Imposters,http://codeforces.com/contest/1594/problem/D,D,1700,Codeforces Round #747 (Div. 2),http://codeforces.com/contest/1594
Hemose in ICPC ?,http://codeforces.com/contest/1592/problem/D,D,2300,Codeforces Round #746 (Div. 2),http://codeforces.com/contest/1592
Mathematics Curriculum,http://codeforces.com/contest/1581/problem/D,D,2600,Codeforces Round #745 (Div. 2),http://codeforces.com/contest/1581
Xor of 3,http://codeforces.com/contest/1573/problem/D,D,2500,Codeforces Round #743 (Div. 2),http://codeforces.com/contest/1573
Expression Evaluation Error,http://codeforces.com/contest/1567/problem/D,D,2000,Codeforces Round #742 (Div. 2),http://codeforces.com/contest/1567
Two Hundred Twenty One (easy version),http://codeforces.com/contest/1562/problem/D1,D1,1700,Codeforces Round #741 (Div. 2),http://codeforces.com/contest/1562
Two Hundred Twenty One (hard version),http://codeforces.com/contest/1562/problem/D2,D2,2200,Codeforces Round #741 (Div. 2),http://codeforces.com/contest/1562
Mocha and Diana (Easy Version),http://codeforces.com/contest/1559/problem/D1,D1,1400,Codeforces Round #738 (Div. 2),http://codeforces.com/contest/1559
Mocha and Diana (Hard Version),http://codeforces.com/contest/1559/problem/D2,D2,2500,Codeforces Round #738 (Div. 2),http://codeforces.com/contest/1559
Ezzat and Grid,http://codeforces.com/contest/1557/problem/D,D,2200,Codeforces Round #737 (Div. 2),http://codeforces.com/contest/1557
Integers Have Friends,http://codeforces.com/contest/1549/problem/D,D,1800,Codeforces Round #736 (Div. 2),http://codeforces.com/contest/1549
Diane,http://codeforces.com/contest/1554/problem/D,D,1800,Codeforces Round #735 (Div. 2),http://codeforces.com/contest/1554
AquaMoon and Chess,http://codeforces.com/contest/1546/problem/D,D,1900,Codeforces Round #732 (Div. 2),http://codeforces.com/contest/1546
RPD and Rap Sheet (Easy Version),http://codeforces.com/contest/1543/problem/D1,D1,1700,Codeforces Round #730 (Div. 2),http://codeforces.com/contest/1543
RPD and Rap Sheet (Hard Version),http://codeforces.com/contest/1543/problem/D2,D2,2200,Codeforces Round #730 (Div. 2),http://codeforces.com/contest/1543
Priority Queue,http://codeforces.com/contest/1542/problem/D,D,2200,Codeforces Round #729 (Div. 2),http://codeforces.com/contest/1542
Tree Array,http://codeforces.com/contest/1541/problem/D,D,2300,Codeforces Round #728 (Div. 2),http://codeforces.com/contest/1541
PriceFixed,http://codeforces.com/contest/1539/problem/D,D,1600,Codeforces Round #727 (Div. 2),http://codeforces.com/contest/1539
Deleting Divisors,http://codeforces.com/contest/1537/problem/D,D,1700,Codeforces Round #726 (Div. 2),http://codeforces.com/contest/1537
Omkar and Medians,http://codeforces.com/contest/1536/problem/D,D,2000,Codeforces Round #724 (Div. 2),http://codeforces.com/contest/1536
Kill Anton,http://codeforces.com/contest/1526/problem/D,D,2200,Codeforces Round #723 (Div. 2),http://codeforces.com/contest/1526
Kavi on Pairing Duty,http://codeforces.com/contest/1529/problem/D,D,1700,Codeforces Round #722 (Div. 2),http://codeforces.com/contest/1529
MEX Tree,http://codeforces.com/contest/1527/problem/D,D,2400,Codeforces Round #721 (Div. 2),http://codeforces.com/contest/1527
Nastia Plays with a Tree,http://codeforces.com/contest/1521/problem/D,D,2500,Codeforces Round #720 (Div. 2),http://codeforces.com/contest/1521
Cut,http://codeforces.com/contest/1516/problem/D,D,2100,Codeforces Round #717 (Div. 2),http://codeforces.com/contest/1516
Cut and Stick,http://codeforces.com/contest/1514/problem/D,D,2000,Codeforces Round #716 (Div. 2),http://codeforces.com/contest/1514
Binary Literature,http://codeforces.com/contest/1509/problem/D,D,1900,Codeforces Round #715 (Div. 2),http://codeforces.com/contest/1509
